elapsed_ms,read_gib_s,write_gib_s,total_gib_s,time_s
47337.071,80.13671875,1.98828125,82.125,47.283718
47388.573,58.0029296875,20.1708984375,78.173828125,47.33521999999999
47439.546,61.208984375,12.3544921875,73.5634765625,47.386193
47491.889,86.6962890625,3.3671875,90.0634765625,47.438536
47543.696,70.4228515625,12.3505859375,82.7734375,47.490343
47594.466,63.1484375,20.107421875,83.255859375,47.541112999999996
47646.143,80.3056640625,1.69140625,81.9970703125,47.592789999999994
47696.323,69.0458984375,1.4111328125,70.45703125,47.64296999999999
47746.235,66.314453125,21.171875,87.486328125,47.692882
47796.042,68.203125,8.3251953125,76.5283203125,47.742689
47846.032,87.236328125,1.326171875,88.5625,47.792679
47895.794,63.8349609375,10.1083984375,73.943359375,47.842441
47945.605,65.7294921875,18.8447265625,84.57421875,47.892252
47996.297,78.654296875,1.6591796875,80.3134765625,47.942944
48047.633,75.7822265625,2.302734375,78.0849609375,47.994279999999996
48097.499,68.3095703125,21.806640625,90.1162109375,48.044146
48147.308,65.6787109375,8.3544921875,74.033203125,48.093954999999994
48198.825,87.384765625,1.455078125,88.83984375,48.14547199999999
48250.012,61.853515625,11.59375,73.447265625,48.196659
48299.732,66.0810546875,17.998046875,84.0791015625,48.246379
48349.606,80.0595703125,2.1796875,82.2392578125,48.296253
48400.42,76.884765625,2.0126953125,78.8974609375,48.347066999999996
48450.533,66.1376953125,21.8125,87.9501953125,48.39718
48500.132,70.6083984375,7.1650390625,77.7734375,48.44677899999999
48552.224,86.9423828125,1.6767578125,88.619140625,48.498871
48604.52,54.87890625,15.896484375,70.775390625,48.55116699999999
48655.14,63.16796875,17.11328125,80.28125,48.601786999999995
48705.607,79.5166015625,2.6953125,82.2119140625,48.652254
48757.614,80.6083984375,5.33203125,85.9404296875,48.704260999999995
48808.377,67.46875,21.8828125,89.3515625,48.755024
48858.864,81.7685546875,5.283203125,87.0517578125,48.805510999999996
48908.99,84.853515625,1.5478515625,86.4013671875,48.855636999999994
48958.935,49.84375,16.455078125,66.298828125,48.905581999999995
49009.521,56.4658203125,14.369140625,70.8349609375,48.956168
49059.962,78.6728515625,1.4521484375,80.125,49.006609
49110.499,83.8857421875,7.392578125,91.2783203125,49.057146
49160.178,63.0947265625,21.1328125,84.2275390625,49.106825
49212.497,80.048828125,2.9423828125,82.9912109375,49.159144
49262.566,75.5390625,1.552734375,77.091796875,49.209213
49314.594,57.673828125,18.6611328125,76.3349609375,49.26124099999999
49364.793,55.7646484375,10.697265625,66.4619140625,49.31144
49415.226,87.2060546875,1.41796875,88.6240234375,49.361873
49466.071,71.5009765625,8.87890625,80.3798828125,49.412718
49515.937,70.158203125,19.1904296875,89.3486328125,49.46258399999999
49565.664,82.8740234375,1.083984375,83.9580078125,49.512311
49617.592,71.7548828125,1.6962890625,73.451171875,49.56423899999999
49667.844,61.857421875,20.810546875,82.66796875,49.614490999999994
49717.999,64.7568359375,8.4599609375,73.216796875,49.664646
49769.051,89.81640625,1.1611328125,90.9775390625,49.715697999999996
49819.993,65.1787109375,11.2294921875,76.408203125,49.76664
49870.195,65.501953125,17.802734375,83.3046875,49.816841999999994
49921.715,74.7060546875,3.341796875,78.0478515625,49.86836199999999
49972.822,72.1103515625,3.43359375,75.5439453125,49.919469
50023.91,66.365234375,22.046875,88.412109375,49.970557
50075.03,74.51171875,7.53515625,82.046875,50.021677
50125.224,86.947265625,2.1796875,89.126953125,50.071871
50176.265,59.6328125,15.3798828125,75.0126953125,50.122912
50226.433,62.0029296875,15.5712890625,77.57421875,50.17307999999999
50277.268,77.9931640625,1.4423828125,79.435546875,50.22391499999999
50328.02,79.2802734375,3.541015625,82.8212890625,50.274666999999994
50378.039,66.587890625,20.888671875,87.4765625,50.32468599999999
50428.291,78.0478515625,4.4365234375,82.484375,50.37493799999999
50478.447,85.5380859375,1.287109375,86.8251953125,50.425093999999994
50528.25,52.6455078125,15.140625,67.7861328125,50.474897
50578.096,57.02734375,14.658203125,71.685546875,50.524742999999994
50627.952,82.5556640625,1.767578125,84.3232421875,50.57459899999999
50678.209,74.955078125,5.5400390625,80.4951171875,50.624856
50728.273,67.71484375,20.99609375,88.7109375,50.67492
50778.739,81.1357421875,3.4736328125,84.609375,50.725386
50828.955,89.7392578125,1.3623046875,91.1015625,50.775602
50878.787,51.9404296875,16.3486328125,68.2890625,50.825433999999994
50928.539,58.3115234375,13.8994140625,72.2109375,50.87518599999999
50978.269,78.8681640625,1.46484375,80.3330078125,50.924915999999996
51027.848,85.330078125,6.21484375,91.544921875,50.974495
51077.641,66.412109375,22.84765625,89.259765625,51.024288
51127.953,80.3642578125,3.87890625,84.2431640625,51.0746
51178.911,83.0439453125,3.0791015625,86.123046875,51.125558
51230.34,52.9228515625,18.7021484375,71.625,51.176987
51281.186,55.3603515625,15.9111328125,71.271484375,51.227833
51333.149,86.7705078125,2.568359375,89.3388671875,51.279796
51384.935,81.9814453125,8.44921875,90.4306640625,51.331582
51435.107,65.720703125,21.375,87.095703125,51.381754
51485.402,85.0322265625,1.8955078125,86.927734375,51.432049
51535.69,78.3017578125,0.94140625,79.2431640625,51.482337
51585.618,53.8017578125,18.4453125,72.2470703125,51.532265
51635.906,56.12109375,11.2001953125,67.3212890625,51.582553
51685.871,89.2568359375,1.6201171875,90.876953125,51.632518
51737.626,75.4833984375,8.771484375,84.2548828125,51.68427299999999
51787.743,70.353515625,20.9609375,91.314453125,51.73439
