timestamp,time_s,preprocess_ms,vision_ms,language_ms,postprocess_ms,total_ms,boxes,points,generated_tokens,pbd_calls,pbd_accepted_tokens,stop_reason,labels,mode
1787057818.6295516,22.878934144973755,18.796,47.7,126.923,0.014,254.745,1,0,10,3,10,im_end,box,hybrid
1787057818.7579055,23.007287979125977,18.533,47.072,128.165,0.02,255.267,1,0,10,3,10,im_end,box,hybrid
1787057818.8876448,23.137027263641357,18.423,47.156,129.539,0.014,257.888,1,0,10,3,10,im_end,box,hybrid
1787057819.0156684,23.265050888061523,18.202,47.938,127.842,0.015,257.577,1,0,10,3,10,im_end,box,hybrid
1787057819.142805,23.39218759536743,18.506,47.638,126.943,0.014,254.981,1,0,10,3,10,im_end,box,hybrid
1787057819.269599,23.518981456756592,18.795,46.731,126.609,0.013,253.727,1,0,10,3,10,im_end,box,hybrid
1787057819.3967056,23.646088123321533,18.678,46.738,126.922,0.014,253.71,1,0,10,3,10,im_end,box,hybrid
1787057819.5250564,23.774438858032227,18.411,47.018,128.133,0.015,255.231,1,0,10,3,10,im_end,box,hybrid
1787057819.6541202,23.903502702713013,18.441,47.011,128.897,0.014,257.24,1,0,10,3,10,im_end,box,hybrid
1787057819.7814672,24.03084969520569,18.444,47.218,127.175,0.013,256.235,1,0,10,3,10,im_end,box,hybrid
1787057819.909618,24.159000396728516,18.506,46.962,127.973,0.013,255.323,1,0,10,3,10,im_end,box,hybrid
1787057820.0388737,24.28825616836548,18.952,47.012,129.064,0.014,257.216,1,0,10,3,10,im_end,box,hybrid
1787057820.1687615,24.41814398765564,18.531,47.18,129.678,0.014,258.922,1,0,10,3,10,im_end,box,hybrid
1787057820.2963855,24.54576802253723,18.715,48.01,127.423,0.014,257.313,1,0,10,3,10,im_end,box,hybrid
1787057820.4233878,24.672770261764526,18.578,47.736,126.829,0.015,254.423,1,0,10,3,10,im_end,box,hybrid
1787057820.550252,24.79963445663452,18.333,47.256,126.688,0.014,253.694,1,0,10,3,10,im_end,box,hybrid
1787057820.6772647,24.926647186279297,18.413,47.123,126.834,0.016,253.687,1,0,10,3,10,im_end,box,hybrid
1787057820.8039768,25.053359270095825,18.444,47.373,126.534,0.014,253.544,1,0,10,3,10,im_end,box,hybrid
1787057820.9304535,25.17983603477478,18.151,47.262,126.299,0.014,253.008,1,0,10,3,10,im_end,box,hybrid
1787057821.0576484,25.30703091621399,19.003,46.263,127.021,0.014,253.489,1,0,10,3,10,im_end,box,hybrid
1787057821.184864,25.43424654006958,18.586,47.015,127.038,0.013,254.228,1,0,10,3,10,im_end,box,hybrid
1787057821.3133917,25.562774181365967,18.206,47.598,128.35,0.013,255.561,1,0,10,3,10,im_end,box,hybrid
